type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-12-05 00:00:00,4207.57,2025-12-05 08:00:00,4205.98,4154.72,-1.89,0,Signal Exit,496
Long,False,1.0,2025-12-05 16:00:00,4224.67,2025-12-05 20:00:00,4223.62,4172.44,-1.35,0,Signal Exit,497
Long,False,1.0,2025-12-06 00:00:00,4243.82,2025-12-06 04:00:00,4207.68,4193.4,-36.44,0,Signal Exit,498
Long,False,1.0,2025-12-10 00:00:00,4212.75,2025-12-10 04:00:00,4212.47,4159.17,-0.58,0,Signal Exit,499
Long,False,1.0,2025-12-11 04:00:00,4216.29,2025-12-11 12:00:00,4216.69,4161.38,0.1,0,Signal Exit,500
Long,True,1.0,2025-12-11 08:00:00,4232.33,2025-12-11 12:00:00,4216.69,4161.38,-15.94,0,Signal Exit,501
Long,False,1.0,2025-12-12 00:00:00,4255.98,2025-12-12 12:00:00,4270.66,4180.34,14.38,0,Signal Exit,502
Long,True,2.0,2025-12-12 04:00:00,4273.52,2025-12-12 12:00:00,4270.66,4180.34,-6.32,0,Signal Exit,503
Long,False,1.0,2025-12-12 16:00:00,4287.18,2025-12-13 00:00:00,4290.55,4238.48,2.32,24,Signal Exit,504
Long,True,2.0,2025-12-12 20:00:00,4336.45,2025-12-13 00:00:00,4290.55,4238.48,-93.9,24,Signal Exit,505
Long,False,1.0,2025-12-13 04:00:00,4296.54,2025-12-16 00:00:00,4318.37,4269.16,19.28,72,Signal Exit,506
Long,True,2.0,2025-12-15 04:00:00,4295.98,2025-12-16 00:00:00,4318.37,4269.16,42.68,24,Signal Exit,507
Long,False,1.0,2025-12-17 00:00:00,4319.76,2025-12-17 04:00:00,4310.21,4242.91,-9.85,0,Signal Exit,508
Long,False,1.0,2025-12-17 12:00:00,4323.66,2025-12-17 16:00:00,4317.25,4274.62,-6.71,0,Signal Exit,509
Long,False,1.0,2025-12-18 00:00:00,4330.36,2025-12-18 12:00:00,4333.22,4279.64,2.56,0,Signal Exit,510
